Ecosystem,Latitude,Longitude
SaltMarsh,38.35,-76.17
SaltMarsh,38.32,-76.07
SaltMarsh,38.3,-75.9
SaltMarsh,30.05,-84.1
SaltMarsh,30.1,-84.2
SaltMarsh,29.5,-93.2
SaltMarsh,29.7,-94.1
SaltMarsh,29.5,-90
SaltMarsh,29.6,-90.1
SaltMarsh,29.3,-90.6
SaltMarsh,29,-91
SaltMarsh,29.3,-91.1
SaltMarsh,29.5,-90.3
SaltMarsh,30.4,-88.9
SaltMarsh,29.5,-92.7
SaltMarsh,30,-89.9
SaltMarsh,29.1,-95.6
SaltMarsh,28.4,-96.8
SaltMarsh,29.7,-92.7
SaltMarsh,29.5,-91.9
SaltMarsh,29.6,-92.7
SaltMarsh,29.9,-93.5
SaltMarsh,48.9,-125.5
SaltMarsh,45.6,-64.8
SaltMarsh,44.7,-63.4
SaltMarsh,45.9,-65.5
SaltMarsh,45.8,-64.4
SaltMarsh,45.3,-65.5
SaltMarsh,45.2,-66.2
SaltMarsh,46.5,-63.7
SaltMarsh,45.1,-66.4
SaltMarsh,46.7,-64.9
SaltMarsh,46.8,-64.9
SaltMarsh,47.4,-65
SaltMarsh,46.4,-63.2
SaltMarsh,45.1,-67
SaltMarsh,45.1,-66.3
SaltMarsh,43.6,-65.3
SaltMarsh,43.8,-66.1
SaltMarsh,45.1,-66.5
SaltMarsh,43.7,-66.1
SaltMarsh,43.3,-70.5
SaltMarsh,41.2,-72.9
SaltMarsh,41.2,-72.7
SaltMarsh,41.2,-72.6
SaltMarsh,41.5,-70
SaltMarsh,41.2,-72
SaltMarsh,41.3,-71.9
SaltMarsh,43.75,-69.83
SaltMarsh,35,-76.4
SaltMarsh,31.4,-81.21
SaltMarsh,22.33,113.98
SaltMarsh,29.35,-91.7
SaltMarsh,37.6,-76.15
SaltMarsh,35.9,-75.6
SaltMarsh,35.3,-76.8
SaltMarsh,41.91,-70.02
Seagrass,38.14,-0.37
Seagrass,37.64,24.03
Seagrass,36.42,15.14
Seagrass,38.42,-0.37
Seagrass,36.69,15.14
Seagrass,12.3,109.23
Seagrass,44.68,-1.13
Seagrass,24.91,-80.94
Seagrass,36.47,-6.25
Seagrass,10.07,118.81
Seagrass,39.14,2.92
Seagrass,39.37,3.23
Seagrass,12.03,109.2
Seagrass,39.91,2.8
Seagrass,29.67,-84.96
Seagrass,24.96,-80.67
Seagrass,30.14,-85.7
Seagrass,12.22,109.26
Seagrass,56.77,8.88
Seagrass,40.6,0.77
Seagrass,25.03,-80.68
Seagrass,25.25,-80.3
Seagrass,25.22,-80.21
Seagrass,25.18,-80.26
Seagrass,25.11,-80.37
Seagrass,25.06,-80.42
Seagrass,25.01,-80.38
Seagrass,25,-80.47
Seagrass,24.87,-80.67
Seagrass,24.86,-80.66
Seagrass,24.8,-80.72
Seagrass,24.8,-80.81
Seagrass,24.74,-80.8
Seagrass,24.69,-80.98
Seagrass,24.62,-81.25
Seagrass,24.63,-81.42
Seagrass,24.54,-81.49
Seagrass,24.56,-81.56
Seagrass,24.54,-81.75
Seagrass,24.48,-81.71
Seagrass,24.52,-81.63
Seagrass,24.88,-80.96
Seagrass,24.81,-80.92
Seagrass,24.85,-81.01
Seagrass,24.82,-81.15
Seagrass,24.75,-81.17
Seagrass,24.79,-81.29
Seagrass,24.77,-81.55
Seagrass,24.73,-81.52
Seagrass,24.7,-81.68
Seagrass,24.77,-81.44
Seagrass,27.27,-82.73
Seagrass,27.31,-82.8
Seagrass,-17.52,139.99
Seagrass,-17.4,139.89
Seagrass,30.28,-88.53
Seagrass,63.59,9.54
Seagrass,27.48,-80.31
Seagrass,27.87,-80.33
Seagrass,12.48,109.29
Seagrass,12.49,109.3
Seagrass,11.87,122.76
Seagrass,16.44,119.91
Seagrass,8.04,98.42
Seagrass,16.37,119.96
Seagrass,39.54,2.73
Seagrass,39.42,3.27
Seagrass,36.99,-7.91
Seagrass,-32.01,115.49
Seagrass,39.5,2.54
Seagrass,30.38,-88.32
Seagrass,39.15,2.54
Seagrass,16.44,119.92
Seagrass,37.65,24.03
Seagrass,25.18,-80.49
Seagrass,48.35,-4.48
Seagrass,16.35,119.93
Seagrass,54.24,7.82
Seagrass,43.41,3.64
Seagrass,-32.14,115.74
Seagrass,-32.38,17.84
Seagrass,40.6,0.63
Seagrass,51.71,4.02
Seagrass,40.7,0.9
Seagrass,48.54,-122.54
Seagrass,-29.46,153.98
Seagrass,42.57,8.76
Seagrass,41.51,2.42
Seagrass,24.84,-77.78
Seagrass,24.83,-80.82
Seagrass,27.87,-97.12
Seagrass,26.68,-97.4
Seagrass,18.56,-66.49
Seagrass,10.63,72.77
Seagrass,21.16,-86.79
Seagrass,20.78,-86.59
Seagrass,37.01,-7.83
Seagrass,42.29,3.3
Seagrass,42.04,3.21
Seagrass,40.72,13.9
Seagrass,41.27,2.12
Seagrass,41.38,2.22
Mangrove,1.69,124.96
Mangrove,9.25,-61.3
Mangrove,5.35,162.96
Mangrove,1.3,124.62
Mangrove,1.75,124.74
Mangrove,1.57,124.8
Mangrove,7.35,134.54
Mangrove,1.74,124.75
Mangrove,9.51,138.15
Mangrove,-7.71,108.96
Mangrove,9.56,138.18
Mangrove,9.54,138.09
Mangrove,5.28,162.91
Mangrove,9.55,138.1
Mangrove,6.52,158.2
Mangrove,9.59,138.13
Mangrove,5.28,162.96
Mangrove,-7.72,108.97
Mangrove,5.33,162.94
Mangrove,-2.74,111.71
Mangrove,-2.74,111.74
Mangrove,-2.78,111.7
Mangrove,-2.85,111.74
Mangrove,-2.86,111.73
Mangrove,22.26,89.63
Mangrove,22.32,89.63
Mangrove,1.37,124.55
Mangrove,11,-74.2
Mangrove,5.3,163
Mangrove,18.7,-91.5
Mangrove,18.54,-66.53
Mangrove,22.27,113.78
Mangrove,-32.25,18.02
Mangrove,24.4,118.5
Mangrove,19.88,110.65
Mangrove,23,114.41
Mangrove,18.58,-103.46
Mangrove,18,-67.19
Mangrove,8,98.4
Mangrove,13.82,121.55
Mangrove,16.89,-88.09